GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
AppointmentService,com.cs320,Appointment,14,74,2,18,6,16,4,12,2,4
AppointmentService,com.cs320,AppointmentService,0,43,0,4,0,10,0,5,0,3
